4.825;3.6035;-0.033;-0.3845;160.25;42.18;635.34;1.2;636.75;3.0;1462.5;4.825
4.8375;3.5926;-0.033;-0.412;160.25;42.18;635.34;1.2;636.75;3.0;1462.5;4.825
4.85;3.5871;-0.0165;-0.434;160.25;42.18;635.34;1.2;636.75;3.0;1462.5;4.825
4.8625;3.5871;-0.0165;-0.4614;160.25;42.18;635.34;1.2;636.75;3.0;1462.5;4.825
4.875;3.5871;-0.033;-0.4889;160.25;42.18;635.34;1.2;649.11;3.0;1462.5;4.875
4.8875;3.5816;-0.0494;-0.5109;160.25;42.18;635.34;1.2;649.11;3.0;1462.5;4.875
4.9;3.5816;-0.0385;-0.5383;160.25;42.18;635.34;1.2;649.11;3.0;1462.5;4.875
4.9125;3.5761;-0.0385;-0.5658;160.25;42.18;635.34;1.2;649.11;3.0;1462.5;4.875
4.925;3.5706;-0.0439;-0.5933;164.5;42.0;647.76;1.23;649.11;3.0;1518.75;4.925
4.9375;3.5706;-0.0604;-0.6207;164.5;42.0;647.76;1.23;649.11;3.0;1518.75;4.925
4.95;3.5706;-0.0604;-0.6482;164.5;42.0;647.76;1.23;649.11;3.0;1518.75;4.925
4.9625;3.5706;-0.0549;-0.6702;164.5;42.0;647.76;1.23;649.11;3.0;1518.75;4.925
4.975;3.5651;-0.0604;-0.6976;164.5;42.0;647.76;1.23;661.41;3.0;1518.75;4.975
4.9875;3.5596;-0.0549;-0.7196;164.5;42.0;647.76;1.23;661.41;3.0;1518.75;4.975
5.0;3.5596;-0.0604;-0.7361;164.5;42.0;647.76;1.23;661.41;3.0;1518.75;4.975
5.0125;3.5486;-0.0549;-0.7581;164.5;42.0;647.76;1.23;661.41;3.0;1518.75;4.975
5.025;3.5376;-0.0494;-0.7745;168.75;41.79;660.09;1.26;661.41;3.0;1593.75;5.025
5.0375;3.5266;-0.0439;-0.7855;168.75;41.79;660.09;1.26;661.41;3.0;1593.75;5.025
5.05;3.5211;-0.0439;-0.802;168.75;41.79;660.09;1.26;661.41;3.0;1593.75;5.025
5.0625;3.5102;-0.0385;-0.8185;168.75;41.79;660.09;1.26;661.41;3.0;1593.75;5.025
